artist,track,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_s
Manchester Orchestra,The Maze,A Black Mile To The Surface,0.266,0.426,F#,-9.114,major,0.0364,0.0911,0.16,0.181,0.236,101.249,178.307
Manchester Orchestra,The Gold,A Black Mile To The Surface,0.394,0.689,F#,-6.648,major,0.0385,0.00119,0.0131,0.176,0.457,180.111,273.067
Manchester Orchestra,The Moth,A Black Mile To The Surface,0.505,0.879,A#,-6.078,major,0.0354,0.00011,0.49,0.579,0.338,112.021,275.973
Manchester Orchestra,"Lead, SD",A Black Mile To The Surface,0.42,0.582,F,-7.53,major,0.0383,0.00112,0.117,0.0866,0.248,127.272,293.92
Manchester Orchestra,The Alien,A Black Mile To The Surface,0.464,0.334,D#,-12.916,major,0.0313,0.307,0.247,0.11,0.326,165.278,328.933
Manchester Orchestra,The Sunshine,A Black Mile To The Surface,0.512,0.614,D#,-14.368,major,0.0292,0.104,0.738,0.252,0.965,168.071,117.173
Manchester Orchestra,The Grocery,A Black Mile To The Surface,0.538,0.67,D#,-8.548,major,0.0374,0.00391,0.0691,0.116,0.33,120.053,312.413
Manchester Orchestra,The Wolf,A Black Mile To The Surface,0.431,0.806,A#,-6.852,minor,0.0384,0.00318,0.45,0.124,0.171,127.854,266.76
Manchester Orchestra,The Mistake,A Black Mile To The Surface,0.361,0.454,A,-8.494,major,0.0305,0.0931,0.00146,0.0737,0.298,124.899,234.933
Manchester Orchestra,The Parts,A Black Mile To The Surface,0.368,0.0212,D,-20.06,major,0.046,0.918,0.000509,0.111,0.197,144.828,252.947
Manchester Orchestra,The Silence,A Black Mile To The Surface,0.449,0.357,A#,-8.48,major,0.0266,0.0605,0.483,0.105,0.178,66.979,419.093
Manchester Orchestra,Top Notch,HOPE,0.606,0.204,G#,-13.504,major,0.031,0.788,0.000523,0.11,0.204,113.935,237.347
Manchester Orchestra,Choose You,HOPE,0.502,0.18,D#,-15.785,major,0.0343,0.862,0.00776,0.111,0.124,123.338,247.947
Manchester Orchestra,Girl Harbor,HOPE,0.514,0.226,A#,-13.603,major,0.0314,0.911,0.000432,0.128,0.257,144.301,235.707
Manchester Orchestra,The Mansion,HOPE,0.474,0.144,A#,-13.932,major,0.029,0.915,0.7,0.104,0.0489,72.741,202.56
Manchester Orchestra,The Ocean,HOPE,0.163,0.172,C,-13.433,major,0.0322,0.962,0.288,0.149,0.0951,204.629,262.373
Manchester Orchestra,Every Stone,HOPE,0.322,0.0665,F,-18.902,major,0.038,0.869,0.685,0.0926,0.052,140.076,280.413
Manchester Orchestra,All That I Really Wanted,HOPE,0.476,0.141,F#,-13.908,major,0.0308,0.764,6.11e-05,0.137,0.198,129.108,217.4
Manchester Orchestra,Trees,HOPE,0.162,0.0877,D,-17.374,minor,0.0381,0.801,0.46,0.101,0.106,82.443,191.427
Manchester Orchestra,Indentions,HOPE,0.569,0.203,A,-16.993,major,0.0345,0.884,0.318,0.125,0.198,109.973,236.32
